District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Kwun Tong,"Tak Ying House, Tak Tin Estate (non-residential)",04/09/2020,4885
Sham Shui Po,Garment Centre (non-residential),04/09/2020,4893
Tuen Mun,Yan Oi Market (non-residential),04/09/2020,4894
Sai Kung,MCP Central (non-residential),04/09/2020,4922
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),05/09/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4024, 4177, 4217, 4413, 4457, 4540, 4696, 4778, 4882"
Kwai Tsing,Tai Wo Hau Shopping Centre (non-residential),05/09/2020,"3172, 4225, 4389, 4890"
Sha Tin,Transport City Building (non-residential),05/09/2020,"4824, 4854, 4881, 4884, 4888, 4892"
Wong Tai Sin,Chuk Yuen Plaza Chuk Yuen Restaurant (non-residential),05/09/2020,4862
Sham Shui Po,Hing Lung Building (non-residential),05/09/2020,"4867, 4872, 4873"
Wan Chai,L'Wanchai JINLIN PALACE (non-residential),05/09/2020,4879
Yau Tsim Mong,Edward Mansion (non-residential),05/09/2020,4880
Wong Tai Sin,Ngau Chi Wan Municipal Services Building (non-residential),06/09/2020,4886
Tuen Mun,Fu Tai Shopping Centre (non-residential),06/09/2020,4893
Wan Chai,The Charterhouse (non-residential),06/09/2020,4896
Tuen Mun,Wai Cheung Industrial Centre 農家好廚 (non-residential),06/09/2020,4901
Yuen Long,8 Kuk Ting Street 煇記香港仔魚蛋粉 (non-residential),06/09/2020,4914
Wan Chai,Fashion Walk Food Street Burgeroom (non-residential),07/09/2020,4912
Tuen Mun,Tuen Mun Town Plaza Phase 1 Noble Dim Sum (non-residential),08/09/2020,4901
Yuen Long,Full Yau Court (non-residential),08/09/2020,4914
Yau Tsim Mong,Pak Shing Building McDonald's (non-residential),09/09/2020,4912
Yau Tsim Mong,Metropark Hotel Mongkok Hong Kong Victoria Harbour Restaurant (non-residential),09/09/2020,4926
